,Year,Teams,Ranking,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
77,2016,Hull City,18.0,2543787.0,5970.0,36.00000000000001,
78,2016,Middlesbrough,19.0,3287727.0,6727.0,43.16,
79,2016,Sunderland,20.0,3739545.0,13212.0,37.72,39.14
80,2015,Leicester City,1.0,2496612.0,26581.0,44.91,
81,2015,Arsenal,2.0,12559062.0,82344.0,23.85,58.42
82,2015,Tottenham Hotspur,3.0,7761500.0,54067.0,63.89999999999999,72.61
83,2015,Manchester United,4.0,13582037.0,83333.0,140.39999999999998,128.55
84,2015,Manchester City,5.0,14970689.0,97034.0,187.37599999999998,128.1
85,2015,Southampton,6.0,4696129.0,34484.0,54.09,58.71
86,2015,West Ham United,7.0,4050161.0,36613.0,47.43,33.56
87,2015,Liverpool,8.0,10711111.0,78370.0,113.85,100.81
88,2015,Stoke City,9.0,5223928.0,42429.0,48.29,18.74
89,2015,Chelsea,10.0,17316071.0,102857.0,81.45,107.57
90,2015,Everton,11.0,6733928.0,53679.0,44.01,36.26
91,2015,Swansea City,12.0,4596666.0,37767.0,19.629,26.99
92,2015,Watford,13.0,2790178.0,32536.0,75.17999999999998,
93,2015,West Bromwich Albion,14.0,3350000.0,32033.0,38.61,25.05
94,2015,Bournemouth,15.0,2162758.0,23414.0,49.604000000000006,
95,2015,Crystal Palace,16.0,3330517.0,36828.0,25.92,27.91
96,2015,Sunderland,17.0,3335156.0,33688.0,59.45,36.75
97,2015,Newcastle United,18.0,4625000.0,44633.0,97.124,
98,2015,Norwich City,19.0,2149655.0,26069.0,39.47,
99,2015,Aston Villa,20.0,3918103.0,35793.0,59.895,
