,year,Teams,Transfer Spend (Euros),MA
62,2005,Birmingham City,7.29,
63,2007,Birmingham City,26.38,
64,2009,Birmingham City,18.05,
65,2010,Birmingham City,23.04,
66,1992,Blackburn Rovers,8.943999999999999,
67,1993,Blackburn Rovers,10.605,
68,1994,Blackburn Rovers,8.78,
69,1995,Blackburn Rovers,14.333,
70,1996,Blackburn Rovers,0.0,
71,1997,Blackburn Rovers,9.113000000000001,
72,1998,Blackburn Rovers,51.445,
73,2001,Blackburn Rovers,32.42,
74,2002,Blackburn Rovers,6.529999999999999,
75,2003,Blackburn Rovers,20.114,
76,2004,Blackburn Rovers,7.093,
77,2005,Blackburn Rovers,8.465,
78,2006,Blackburn Rovers,16.185,
79,2007,Blackburn Rovers,5.58,
80,2008,Blackburn Rovers,10.512,
81,2009,Blackburn Rovers,11.952,
82,2010,Blackburn Rovers,4.545000000000001,
83,2011,Blackburn Rovers,18.5,
84,2010,Blackpool,5.1530000000000005,
85,1995,Bolton Wanderers,7.794999999999999,
86,1997,Bolton Wanderers,12.786,
87,2001,Bolton Wanderers,2.817,
88,2002,Bolton Wanderers,0.0,
89,2003,Bolton Wanderers,0.675,
90,2004,Bolton Wanderers,1.236,
91,2005,Bolton Wanderers,5.58,
92,2006,Bolton Wanderers,15.299999999999999,
93,2007,Bolton Wanderers,20.125,
94,2008,Bolton Wanderers,21.33,
95,2009,Bolton Wanderers,10.8,
96,2010,Bolton Wanderers,4.861000000000001,
97,2011,Bolton Wanderers,14.04,
98,1999,Bradford City,2.418,
99,2000,Bradford City,5.949999999999999,
100,2017,Brighton & Hove Albion,60.300000000000004,
101,2018,Brighton & Hove Albion,79.854,
102,2019,Brighton & Hove Albion,67.45,69.2
103,2009,Burnley,12.191,
104,2014,Burnley,11.354,
105,2016,Burnley,41.03999999999999,
106,2017,Burnley,32.166,
107,2018,Burnley,29.700000000000003,
108,2019,Burnley,17.47,
109,2013,Cardiff City,41.242999999999995,
110,2018,Cardiff City,46.09,
111,1998,Charlton Athletic,2.966,
112,2000,Charlton Athletic,18.724999999999998,
113,2001,Charlton Athletic,12.15,
114,2002,Charlton Athletic,6.08,
115,2003,Charlton Athletic,1.355,
116,2004,Charlton Athletic,11.93,
117,2005,Charlton Athletic,8.190000000000001,
118,2006,Charlton Athletic,19.485,
119,1992,Chelsea,2.6329999999999996,
120,1993,Chelsea,3.432,
121,1994,Chelsea,5.5200000000000005,3.86
122,1995,Chelsea,1.71,3.55
123,1996,Chelsea,14.014000000000001,7.08
124,1997,Chelsea,16.025,10.58
125,1998,Chelsea,17.38,15.81
126,1999,Chelsea,23.723,19.04
127,2000,Chelsea,48.86600000000001,29.99
128,2001,Chelsea,44.73,39.11
129,2002,Chelsea,0.0,31.2
130,2003,Chelsea,152.73000000000002,65.82
131,2004,Chelsea,149.76000000000002,100.83
132,2005,Chelsea,82.35000000000001,128.28
133,2006,Chelsea,80.08,104.06
134,2007,Chelsea,53.099999999999994,71.84
135,2008,Chelsea,27.45,53.54
136,2009,Chelsea,27.009999999999998,35.85
137,2010,Chelsea,109.35,54.6
138,2011,Chelsea,86.81,74.39
139,2012,Chelsea,98.73,98.3
140,2013,Chelsea,117.32,100.95
141,2014,Chelsea,123.93,113.33
142,2015,Chelsea,81.45,107.57
143,2016,Chelsea,119.52,108.3
144,2017,Chelsea,234.45000000000002,145.14
145,2018,Chelsea,187.92000000000002,180.63
146,2019,Chelsea,40.5,154.29
147,1992,Coventry City,1.31,
148,1993,Coventry City,1.104,
149,1994,Coventry City,7.187,3.2
150,1995,Coventry City,5.768000000000001,4.69
151,1996,Coventry City,3.825,5.59
152,1997,Coventry City,7.565,5.72
153,1998,Coventry City,8.996,6.8
154,1999,Coventry City,18.3,11.62
155,2000,Coventry City,17.11,14.8
156,1992,Crystal Palace,0.306,
157,1994,Crystal Palace,1.5739999999999998,
158,1997,Crystal Palace,13.684999999999999,
159,2004,Crystal Palace,4.64,
160,2013,Crystal Palace,29.703,
161,2014,Crystal Palace,28.106,
162,2015,Crystal Palace,25.919999999999998,
163,2016,Crystal Palace,91.17,
164,2017,Crystal Palace,44.059999999999995,
165,2018,Crystal Palace,10.670000000000002,
166,2019,Crystal Palace,6.84,
167,1996,Derby County,3.1649999999999996,
168,1997,Derby County,3.6950000000000003,
169,1998,Derby County,5.086,
170,1999,Derby County,18.54,
171,2000,Derby County,11.993000000000002,
172,2001,Derby County,4.13,
173,2007,Derby County,20.413,
174,1992,Everton,0.10800000000000001,
175,1993,Everton,1.9379999999999997,
176,1994,Everton,10.89,4.31
177,1995,Everton,15.527,9.45
178,1996,Everton,16.88,14.43
179,1997,Everton,7.1370000000000005,13.18
180,1998,Everton,32.78000000000001,18.93
181,1999,Everton,6.84,15.59
182,2000,Everton,34.339,24.65
183,2001,Everton,9.46,16.88
184,2002,Everton,12.36,18.72
185,2003,Everton,9.068999999999999,10.3
186,2004,Everton,10.687999999999999,10.71
187,2005,Everton,29.278,16.35
188,2006,Everton,16.11,18.69
189,2007,Everton,33.794999999999995,26.39
190,2008,Everton,22.572999999999997,24.16
191,2009,Everton,20.97,25.78
192,2010,Everton,1.53,15.02
193,2011,Everton,6.48,9.66
194,2012,Everton,19.495,9.17
195,2013,Everton,28.62,18.2
196,2014,Everton,36.14,28.09
197,2015,Everton,44.01,36.26
198,2016,Everton,77.39999999999999,52.52
199,2017,Everton,182.88,101.43
200,2018,Everton,89.83,116.7
201,2019,Everton,108.89999999999999,127.2
202,2001,Fulham,45.550000000000004,
203,2002,Fulham,2.7,
204,2003,Fulham,7.632,
205,2004,Fulham,12.555000000000001,
206,2005,Fulham,5.895,
207,2006,Fulham,12.425,
208,2007,Fulham,45.397000000000006,
209,2008,Fulham,24.169999999999995,
210,2009,Fulham,6.395000000000001,
211,2010,Fulham,9.95,
212,2011,Fulham,16.31,
213,2012,Fulham,9.0,
214,2013,Fulham,26.369999999999997,
215,2018,Fulham,104.86000000000001,
216,2017,Huddersfield Town,51.08,
217,2018,Huddersfield Town,45.63,
218,2008,Hull City,16.151,
219,2009,Hull City,13.370000000000001,
220,2013,Hull City,28.0,
221,2014,Hull City,43.41100000000001,
222,2016,Hull City,36.00000000000001,
223,1992,Ipswich Town,0.675,
224,1993,Ipswich Town,2.1399999999999997,
225,1994,Ipswich Town,0.919,
226,2000,Ipswich Town,8.645,
227,2001,Ipswich Town,18.213,
228,1992,Leeds United,3.2,
229,1993,Leeds United,4.202,
230,1994,Leeds United,4.438,3.95
231,1995,Leeds United,5.28,4.64
232,1996,Leeds United,14.973,8.23
233,1997,Leeds United,14.315000000000001,11.52
234,1998,Leeds United,7.609999999999999,12.3
235,1999,Leeds United,32.14,18.02
236,2000,Leeds United,47.837999999999994,29.2
237,2001,Leeds United,52.019999999999996,44.0
238,2002,Leeds United,4.05,34.64
239,2003,Leeds United,0.09,18.72
240,1994,Leicester City,3.4410000000000003,
241,1996,Leicester City,8.05,
242,1997,Leicester City,2.295,
243,1998,Leicester City,8.01,
244,1999,Leicester City,5.67,
245,2000,Leicester City,10.531,
246,2001,Leicester City,17.285,
247,2003,Leicester City,1.026,
248,2014,Leicester City,20.57,
249,2015,Leicester City,44.91,
250,2016,Leicester City,82.44000000000001,
251,2017,Leicester City,79.38,
252,2018,Leicester City,103.13999999999997,
253,2019,Leicester City,93.87,
254,1992,Liverpool,3.74,
255,1993,Liverpool,7.209999999999999,
256,1994,Liverpool,10.852,7.27
257,1995,Liverpool,17.33,11.8
258,1996,Liverpool,3.15,10.44
259,1997,Liverpool,16.700000000000003,12.39
260,1998,Liverpool,12.145000000000001,10.66
261,1999,Liverpool,49.05,25.96
262,2000,Liverpool,30.605,30.6
263,2001,Liverpool,28.410000000000004,36.02
264,2002,Liverpool,28.35,29.12
265,2003,Liverpool,14.09,23.62
266,2004,Liverpool,52.57,31.67
267,2005,Liverpool,39.651,35.44
268,2006,Liverpool,41.4,44.54
269,2007,Liverpool,81.63500000000002,54.23
270,2008,Liverpool,64.30499999999999,62.45
271,2009,Liverpool,39.150000000000006,61.7
272,2010,Liverpool,87.96000000000001,63.81
273,2011,Liverpool,59.873000000000005,62.33
274,2012,Liverpool,63.540000000000006,70.46
275,2013,Liverpool,52.29,58.57
276,2014,Liverpool,136.29000000000002,84.04
277,2015,Liverpool,113.85,100.81
278,2016,Liverpool,71.91,107.35
279,2017,Liverpool,156.495,114.08
280,2018,Liverpool,163.98,130.79
281,2019,Liverpool,9.36,109.94
282,1992,Manchester City,0.518,
283,1993,Manchester City,6.832,
284,1994,Manchester City,2.255,
285,1995,Manchester City,10.586,
286,2000,Manchester City,23.653,
287,2002,Manchester City,40.004999999999995,
288,2003,Manchester City,12.844,
289,2004,Manchester City,1.35,
290,2005,Manchester City,11.228,
291,2006,Manchester City,5.8500000000000005,
292,2007,Manchester City,70.16,
293,2008,Manchester City,141.62,
294,2009,Manchester City,132.57,
295,2010,Manchester City,165.25,
296,2011,Manchester City,81.95,
297,2012,Manchester City,55.76,
298,2013,Manchester City,104.4,
299,2014,Manchester City,92.52000000000001,
300,2015,Manchester City,187.376,
301,2016,Manchester City,193.5,
302,2017,Manchester City,285.75,
303,2018,Manchester City,70.731,
304,2019,Manchester City,150.14000000000001,
305,1992,Manchester United,3.173,
306,1993,Manchester United,7.65,
307,1994,Manchester United,10.638,7.15
308,1995,Manchester United,0.518,6.27
309,1996,Manchester United,10.1,7.09
310,1997,Manchester United,12.195,7.6
311,1998,Manchester United,40.279999999999994,20.86
312,1999,Manchester United,7.16,19.88
313,2000,Manchester United,10.53,19.32
314,2001,Manchester United,77.265,31.65
315,2002,Manchester United,43.675,43.82
316,2003,Manchester United,50.873000000000005,57.27
317,2004,Manchester United,55.129999999999995,49.89
318,2005,Manchester United,28.62,44.87
319,2006,Manchester United,24.48,36.08
320,2007,Manchester United,93.15,48.75
321,2008,Manchester United,40.725,52.78
322,2009,Manchester United,24.570000000000004,52.82
323,2010,Manchester United,26.37,30.55
324,2011,Manchester United,56.07000000000001,35.67
325,2012,Manchester United,68.81,50.42
326,2013,Manchester United,69.42,64.77
327,2014,Manchester United,175.82000000000002,104.68
328,2015,Manchester United,140.39999999999998,128.55
329,2016,Manchester United,166.5,160.91
330,2017,Manchester United,178.56,161.82
331,2018,Manchester United,74.43,139.83
332,2019,Manchester United,192.6,148.53
333,1992,Middlesbrough,2.87,
334,1995,Middlesbrough,16.65,
335,1996,Middlesbrough,16.990000000000002,
336,1998,Middlesbrough,10.88,
337,1999,Middlesbrough,9.29,
338,2000,Middlesbrough,41.11,
339,2001,Middlesbrough,20.439999999999998,
340,2002,Middlesbrough,33.67,
341,2003,Middlesbrough,9.18,
342,2004,Middlesbrough,6.08,
343,2005,Middlesbrough,12.569999999999999,
344,2006,Middlesbrough,10.17,
345,2007,Middlesbrough,45.545,
346,2008,Middlesbrough,11.52,
347,2016,Middlesbrough,43.16,
348,1993,Newcastle United,7.359,
349,1994,Newcastle United,9.79,
350,1995,Newcastle United,22.150000000000002,
351,1996,Newcastle United,25.74,
352,1997,Newcastle United,30.239,
353,1998,Newcastle United,38.339,
354,1999,Newcastle United,23.805,
355,2000,Newcastle United,23.328999999999997,
356,2001,Newcastle United,28.424000000000003,
357,2002,Newcastle United,31.1,
358,2003,Newcastle United,0.0,
359,2004,Newcastle United,26.509999999999998,
360,2005,Newcastle United,55.58,
361,2006,Newcastle United,28.688000000000002,
362,2007,Newcastle United,34.07000000000001,
363,2008,Newcastle United,31.93,
364,2010,Newcastle United,12.58,
365,2011,Newcastle United,23.585,
366,2012,Newcastle United,28.774,
367,2013,Newcastle United,3.42,
368,2014,Newcastle United,40.519999999999996,
369,2015,Newcastle United,97.12400000000001,
370,2017,Newcastle United,41.85,
371,2018,Newcastle United,53.78000000000001,
372,2019,Newcastle United,65.61,
373,1992,Norwich City,0.9,
374,1993,Norwich City,0.563,
375,1994,Norwich City,2.59,
376,2004,Norwich City,7.678000000000001,
377,2011,Norwich City,13.74,
378,2012,Norwich City,9.977,
379,2013,Norwich City,30.375000000000004,
380,2015,Norwich City,39.47,
381,2019,Norwich City,7.939000000000001,
382,1992,Nottingham Forest,1.27,
383,1994,Nottingham Forest,6.029999999999999,
384,1995,Nottingham Forest,3.464,
385,1996,Nottingham Forest,8.717,
386,1998,Nottingham Forest,7.659999999999999,
387,1992,Oldham Athletic,2.3150000000000004,
388,1993,Oldham Athletic,0.565,
389,2003,Portsmouth,10.6,
390,2004,Portsmouth,6.619999999999999,
391,2005,Portsmouth,14.827999999999998,10.68
392,2006,Portsmouth,8.19,9.88
393,2007,Portsmouth,52.777,25.26
394,2008,Portsmouth,25.385,28.78
395,2009,Portsmouth,9.504,29.22
396,1992,Queens Park Rangers,0.113,
397,1993,Queens Park Rangers,0.738,
398,1994,Queens Park Rangers,0.648,
399,1995,Queens Park Rangers,4.811000000000001,
400,2011,Queens Park Rangers,23.602999999999998,
401,2012,Queens Park Rangers,45.32000000000001,
402,2014,Queens Park Rangers,39.190999999999995,
403,2006,Reading,8.302999999999999,
404,2007,Reading,10.89,
405,2012,Reading,9.738000000000001,
406,1992,Sheffield United,0.32399999999999995,
407,1993,Sheffield United,0.9179999999999999,
408,2006,Sheffield United,16.224999999999998,
409,2019,Sheffield United,64.35,
410,1992,Sheffield Wednesday,2.88,
411,1993,Sheffield Wednesday,6.734000000000002,
412,1994,Sheffield Wednesday,4.021999999999999,4.55
413,1995,Sheffield Wednesday,11.49,7.42
414,1996,Sheffield Wednesday,7.236000000000001,7.58
415,1997,Sheffield Wednesday,8.807,9.18
416,1998,Sheffield Wednesday,4.239,6.76
417,1999,Sheffield Wednesday,7.2,6.75
418,1992,Southampton,2.658,
419,1993,Southampton,2.628,
420,1994,Southampton,3.554,
421,1995,Southampton,2.916,
422,1996,Southampton,3.6390000000000002,
423,1997,Southampton,8.8,
424,1998,Southampton,6.575,
425,1999,Southampton,3.083,
426,2000,Southampton,0.0,
427,2001,Southampton,17.435000000000002,
428,2002,Southampton,10.81,
429,2003,Southampton,8.081000000000001,
430,2004,Southampton,11.413,
431,2012,Southampton,37.36,
432,2013,Southampton,35.64,
433,2014,Southampton,86.4,
434,2015,Southampton,54.089999999999996,
435,2016,Southampton,62.00999999999999,
436,2017,Southampton,55.129999999999995,
437,2018,Southampton,56.03,
438,2019,Southampton,52.74,
439,2008,Stoke City,30.555,
440,2009,Stoke City,23.45,
441,2010,Stoke City,18.990000000000002,24.33
442,2011,Stoke City,22.32,21.59
443,2012,Stoke City,21.316999999999997,20.88
444,2013,Stoke City,6.3,16.65
445,2014,Stoke City,1.62,9.75
446,2015,Stoke City,48.29,18.74
447,2016,Stoke City,34.903,28.27
448,2017,Stoke City,51.93,45.04
449,1996,Sunderland,6.5539999999999985,
450,1999,Sunderland,15.029,
451,2000,Sunderland,15.188999999999998,
452,2001,Sunderland,38.482,
453,2002,Sunderland,26.72,
454,2005,Sunderland,5.335,
455,2007,Sunderland,57.900000000000006,
456,2008,Sunderland,29.799,
457,2009,Sunderland,41.49,
458,2010,Sunderland,26.19,
459,2011,Sunderland,25.425,
460,2012,Sunderland,34.47,
461,2013,Sunderland,30.525000000000002,
462,2014,Sunderland,20.26,
463,2015,Sunderland,59.45,
464,2016,Sunderland,37.72,
465,2011,Swansea City,11.570999999999998,
466,2012,Swansea City,18.419999999999998,
467,2013,Swansea City,23.951,17.98
468,2014,Swansea City,37.38,26.58
469,2015,Swansea City,19.629,26.99
470,2016,Swansea City,52.29,36.43
471,2017,Swansea City,66.047,45.99
472,1993,Swindon Town,1.5699999999999998,
473,1992,Tottenham Hotspur,6.034999999999999,
474,1993,Tottenham Hotspur,3.977,
475,1994,Tottenham Hotspur,8.42,6.14
476,1995,Tottenham Hotspur,16.32,9.57
477,1996,Tottenham Hotspur,7.430000000000001,10.72
478,1997,Tottenham Hotspur,15.935,13.23
479,1998,Tottenham Hotspur,8.8,10.72
480,1999,Tottenham Hotspur,15.299999999999999,13.34
481,2000,Tottenham Hotspur,23.169999999999998,15.76
482,2001,Tottenham Hotspur,25.249999999999996,21.24
483,2002,Tottenham Hotspur,9.45,19.29
484,2003,Tottenham Hotspur,26.779999999999998,20.49
485,2004,Tottenham Hotspur,42.41299999999999,26.21
486,2005,Tottenham Hotspur,32.86,34.02
487,2006,Tottenham Hotspur,54.910000000000004,43.39
488,2007,Tottenham Hotspur,84.74,57.5
489,2008,Tottenham Hotspur,128.21,89.29
490,2009,Tottenham Hotspur,36.269999999999996,83.07
491,2010,Tottenham Hotspur,23.94,62.81
492,2011,Tottenham Hotspur,8.11,22.77
493,2012,Tottenham Hotspur,65.92999999999999,32.66
494,2013,Tottenham Hotspur,110.28,61.44
495,2014,Tottenham Hotspur,43.64,73.28
496,2015,Tottenham Hotspur,63.89999999999999,72.61
497,2016,Tottenham Hotspur,75.14999999999999,60.9
498,2017,Tottenham Hotspur,109.35000000000001,82.8
499,2018,Tottenham Hotspur,0.0,61.5
500,2019,Tottenham Hotspur,133.65000000000003,81.0
501,1999,Watford,3.29,
502,2006,Watford,9.437999999999999,
503,2015,Watford,75.17999999999999,
504,2016,Watford,63.41499999999999,
505,2017,Watford,64.26,
506,2018,Watford,27.1,
507,2019,Watford,43.2,
508,2002,West Bromwich Albion,15.26,
509,2004,West Bromwich Albion,14.284999999999998,
510,2005,West Bromwich Albion,13.779999999999998,
511,2008,West Bromwich Albion,21.893,
512,2010,West Bromwich Albion,12.447000000000003,
513,2011,West Bromwich Albion,8.224,
514,2012,West Bromwich Albion,4.5,
515,2013,West Bromwich Albion,14.129999999999999,
516,2014,West Bromwich Albion,22.4,
517,2015,West Bromwich Albion,38.61,
518,2016,West Bromwich Albion,34.11,
519,2017,West Bromwich Albion,48.15,
520,1993,West Ham United,3.1310000000000002,
521,1994,West Ham United,5.379999999999999,
522,1995,West Ham United,4.257,
523,1996,West Ham United,11.88,
524,1997,West Ham United,11.685999999999998,
525,1998,West Ham United,9.979,
526,1999,West Ham United,7.041,
527,2000,West Ham United,16.784,
528,2001,West Ham United,19.859,
529,2002,West Ham United,0.36,
530,2005,West Ham United,19.44,
531,2006,West Ham United,62.864999999999995,
532,2007,West Ham United,42.449999999999996,
533,2008,West Ham United,14.399999999999999,
534,2009,West Ham United,19.485,
535,2010,West Ham United,14.242999999999999,
536,2012,West Ham United,21.511,
537,2013,West Ham United,21.599999999999998,
538,2014,West Ham United,31.64,
539,2015,West Ham United,47.43,
540,2016,West Ham United,75.15,
541,2017,West Ham United,51.120000000000005,
542,2018,West Ham United,90.80999999999999,
543,2019,West Ham United,108.18,
544,2005,Wigan Athletic,14.2,
545,2006,Wigan Athletic,29.785000000000007,
546,2007,Wigan Athletic,16.11,20.03
547,2008,Wigan Athletic,21.69,22.53
548,2009,Wigan Athletic,16.597,18.13
549,2010,Wigan Athletic,10.26,16.18
550,2011,Wigan Athletic,11.14,12.67
551,2012,Wigan Athletic,9.482,10.29
552,1992,Wimbledon,1.929,
553,1993,Wimbledon,0.5269999999999999,
554,1994,Wimbledon,3.088,1.85
555,1995,Wimbledon,0.657,1.42
556,1996,Wimbledon,2.505,2.08
557,1997,Wimbledon,4.688000000000001,2.62
558,1998,Wimbledon,17.78,8.32
559,1999,Wimbledon,7.43,9.97
560,2003,Wolverhampton Wanderers,8.897999999999998,
561,2009,Wolverhampton Wanderers,17.505000000000003,
562,2010,Wolverhampton Wanderers,18.199,
563,2011,Wolverhampton Wanderers,10.85,
564,2018,Wolverhampton Wanderers,101.03000000000002,
565,2019,Wolverhampton Wanderers,109.62,
